scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1134.90836,215.7296295,1080.023644,335.044229,1149.226112,354.134565,1344.902055,206.1844615,1416.490815,342.203105,1299.562508,344.589397,1139.680944,420.9507407,1287.631048,437.6547846,1256.609252,664.3525238,1146.83982,535.4927563,1270.927004,845.7107151,1158.77128,724.0098235
labeled-data,1122.9769,218.1159215,1070.478476,351.748273,1156.384988,330.2716451,1342.515763,206.1844615,1414.104523,325.4990611,1301.9488,325.4990611,1132.522068,409.0192808,1270.927004,442.4273686,1251.836668,673.8976917,1149.226112,468.6765805,1251.836668,855.255883,1173.089032,690.6017357
labeled-data,1122.9769,222.8885055,1053.774433,354.134565,1168.316448,311.1813091,1321.039135,199.0255856,1414.104523,301.6361412,1304.335092,311.1813091,1132.522068,444.8136606,1270.927004,437.6547846,1244.677792,673.8976917,1168.316448,354.134565,1249.450376,848.0970071,1185.020492,595.150056
labeled-data,1103.886564,208.5707535,1034.684097,349.361981,1144.453528,282.5458052,1292.403632,215.7296295,1402.173063,325.4990611,1292.403632,311.1813091,1101.500272,447.1999526,1227.973748,454.3588286,1225.587456,683.4428597,1134.90836,346.975689,1242.2915,852.869591,1194.56566,556.9693842
labeled-data,1101.500272,227.6610895,1025.138929,368.4523169,1142.067236,311.1813091,1287.631048,239.5925494,1397.400479,349.361981,1290.01734,344.589397,1072.864768,482.9943325,1213.655996,480.6080405,1213.655996,692.9880277,1127.749484,428.1096167,1237.518916,845.7107151,1177.861616,628.5581439
labeled-data,1103.886564,244.3651334,1015.593761,382.7700689,1137.294652,330.2716451,1287.631048,265.8417613,1387.855311,377.9974849,1278.08588,377.9974849,1056.160725,482.9943325,1204.110828,492.5395004,1201.724536,702.5331956,1113.431732,478.2217485,1235.132624,850.4832991,1175.475324,676.2839837
labeled-data,1103.886564,287.3183892,996.5034247,406.6329888,1118.204316,392.3152368,1282.858464,318.3401851,1368.764975,444.8136606,1232.746332,454.3588286,1041.842973,492.5395004,1187.406784,518.7887123,1194.56566,702.5331956,1080.023644,566.5145521,1235.132624,862.414759,1130.135776,766.9630794
labeled-data,1101.500272,320.7264771,967.8679209,404.2466968,1075.25106,454.3588286,1270.927004,368.4523169,1337.743179,499.6983764,1235.132624,549.8105082,1020.366345,514.0161283,1173.089032,549.8105082,1182.6342,712.0783636,1017.980053,626.1718519,1235.132624,857.642175,1032.297805,819.4615032
