scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1244.961928,196.594777,1177.19744,330.0702827,1320.940293,289.0008963,1384.597841,233.5572247,1466.736614,344.4445679,1401.025596,346.4980372,1164.876624,424.5298712,1273.710498,455.331911,1353.795802,672.9996586,1351.742332,465.5992576,1335.314578,806.4751643,1390.758249,675.053128
labeled-data,1244.961928,245.8780406,1162.823155,352.6584451,1312.726415,377.300077,1378.437433,303.3751815,1440.041513,416.315994,1386.651311,451.2249724,1125.860707,467.6527269,1253.175805,500.508236,1339.421516,672.9996586,1296.298661,578.54007,1333.261108,812.6355722,1341.474986,771.5661859
labeled-data,1234.694581,270.5196725,1150.502339,356.7653838,1294.245191,418.3694633,1364.063148,328.0168133,1411.292942,443.0110951,1380.490903,494.347828,1132.021115,488.1874201,1236.748051,508.7221133,1331.207639,679.1600666,1242.908458,607.2886405,1329.15417,812.6355722,1271.657029,820.8494495
labeled-data,1234.694581,270.5196725,1150.502339,350.6049758,1288.084783,418.3694633,1362.009679,336.2306906,1394.865188,443.0110951,1384.597841,521.0429292,1123.807238,490.2408894,1234.694581,508.7221133,1329.15417,672.9996586,1222.373765,603.1817018,1331.207639,818.7959802,1261.389682,833.1702654
labeled-data,1197.732133,286.947427,1136.128054,344.4445679,1216.213357,440.9576258,1329.15417,356.7653838,1353.795802,484.0804814,1374.330495,599.0747632,1086.84479,506.6686439,1212.106419,518.9894598,1304.512538,685.3204745,1101.219076,656.5719041,1320.940293,822.9029188,1090.951729,878.3465904
labeled-data,1166.930094,286.947427,1119.700299,348.5515065,1164.876624,410.155586,1300.405599,354.7119145,1339.421516,473.8131349,1376.383964,586.7539473,1043.721935,506.6686439,1187.464787,533.3637451,1298.35213,699.6947598,1027.29418,668.89272,1318.886823,824.9563881,996.4921404,880.4000597
labeled-data,1082.737852,297.2147736,990.3317324,284.8939577,967.7435699,325.963344,1220.320296,336.2306906,1308.619477,383.4604849,1364.063148,484.0804814,984.1713245,537.4706837,1117.64683,547.7380303,1236.748051,730.4967995,877.39092,683.2670052,1312.726415,824.9563881,764.4501075,861.9188358
labeled-data,1049.882343,303.3751815,918.4603063,268.4662031,877.39092,311.5890588,1185.411318,328.0168133,1271.657029,338.2841599,1339.421516,428.6368099,951.3158154,549.7914996,1099.165606,564.1657848,1197.732133,746.9245541,811.6799018,681.2135359,1308.619477,831.1167961,696.6856201,847.5445506
