scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1209.384547,160.176861,1236.036198,265.117737,1291.005228,220.1430758,1244.364839,200.1543376,1257.690665,288.4379316,1291.005228,253.4576396,1184.398624,333.4125928,1209.384547,336.7440492,1261.022121,541.6286166,1367.628725,308.4266699,1219.378916,668.2239591,1339.311346,468.3365762
labeled-data,1211.050275,193.4914248,1237.701926,293.4351162,1299.333869,265.117737,1229.373285,231.8031732,1237.701926,301.7637572,1284.342316,308.4266699,1151.08406,378.3872539,1199.390178,386.7158949,1264.353577,539.9628884,1340.977074,398.3759922,1217.713188,671.5554155,1350.971443,556.6201703
labeled-data,1211.050275,208.4829785,1241.033383,301.7637572,1302.665326,285.1064753,1237.701926,251.7919115,1232.704742,320.0867673,1284.342316,333.4125928,1144.421148,388.3816231,1197.72445,393.3788076,1271.01649,546.6258012,1327.651249,426.6933715,1211.050275,669.8896873,1349.305715,588.2690059
labeled-data,1202.721634,241.7975423,1242.699111,326.74968,1315.991151,353.4013311,1222.710373,290.1036598,1249.362024,368.3928848,1272.682218,411.7018177,1129.429594,423.3619151,1162.744158,431.690556,1274.347947,553.2887139,1291.005228,493.3224991,1216.04746,676.5526,1327.651249,666.5582309
labeled-data,1197.72445,251.7919115,1244.364839,333.4125928,1324.319792,376.7215257,1216.04746,325.0839518,1242.699111,400.0417204,1271.01649,450.0135661,1106.109399,435.0220124,1164.409886,448.3478379,1259.356393,558.2858985,1254.359208,523.3056065,1212.716004,676.5526,1309.328239,686.5469692
labeled-data,1182.732896,266.7834652,1231.039014,326.74968,1340.977074,375.0557976,1201.055906,331.7468646,1217.713188,420.0304587,1244.364839,506.6483246,1079.457748,446.6821097,1144.421148,456.6764789,1252.69348,579.940365,1164.409886,574.9431804,1214.381732,679.8840564,1211.050275,744.8474558
labeled-data,1162.744158,270.1149216,1206.053091,311.7581263,1297.668141,343.4069619,1191.061537,333.4125928,1204.387363,406.7046332,1219.378916,483.3281299,1047.808913,453.3450225,1131.095322,463.3393916,1241.033383,584.9375495,1104.443671,593.2661905,1214.381732,681.5497846,1122.766681,761.5047377
labeled-data,1111.106584,265.117737,1084.454933,256.789096,1161.07843,278.4435625,1156.081245,301.7637572,1169.407071,315.0895827,1201.055906,386.7158949,1024.488718,476.6652172,1112.772312,476.6652172,1221.044644,626.5807543,991.1741542,619.9178415,1211.050275,688.2126974,952.8624058,784.8249324
