scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,851.896697,185.7331031,808.587764,305.6655328,721.9698981,282.3453381,765.2788311,175.7387339,695.3182471,305.6655328,685.3238779,280.6796099,808.587764,400.6120397,776.9389284,415.6035934,773.607472,650.4712682,670.3323242,338.9800966,768.6102875,855.3558356,630.3548477,508.884372
labeled-data,855.2281534,187.3988313,835.2394151,299.00262,721.9698981,279.0138818,771.9417439,175.7387339,688.6553343,305.6655328,678.6609652,280.6796099,828.5765023,393.9491269,778.6046566,418.9350497,778.6046566,658.7999092,662.0036833,347.3087376,768.6102875,860.3530202,627.0233913,510.5501002
labeled-data,855.2281534,200.7246568,838.5708715,310.6627174,733.6299955,289.0082509,775.2732002,175.7387339,693.6525189,302.3340764,678.6609652,270.6852408,793.5962103,387.2862141,766.9445593,417.2693216,770.2760157,653.8027246,665.3351397,335.6486402,775.2732002,853.6901075,628.6891195,515.5472848
labeled-data,858.5596098,255.6936871,821.9135896,373.9603886,725.3013545,352.3059221,781.936113,282.3453381,708.6440726,422.2665061,721.9698981,402.2777678,853.5624252,460.5782545,848.5652406,470.5726237,753.6187338,655.4684528,721.9698981,503.8871875,775.2732002,842.0300101,671.9980524,672.1257347
labeled-data,850.2309688,269.0195126,836.9051433,398.9463115,723.6356263,380.6233014,775.2732002,305.6655328,710.3098008,447.252429,733.6299955,408.9406806,866.8882507,472.2383518,868.5539789,495.5585465,736.9614519,645.4740837,733.6299955,518.8787412,771.9417439,842.0300101,681.9924216,697.1116576
labeled-data,855.2281534,290.6739791,818.5821332,412.272137,708.6440726,427.2636907,785.2675694,343.9772812,728.6328109,480.5669928,723.6356263,527.2073821,893.5399018,488.8956337,868.5539789,508.884372,755.2844619,648.80554,771.9417439,552.193305,773.607472,835.3670974,728.6328109,717.1003958
labeled-data,848.5652406,300.6683482,821.9135896,403.943496,708.6440726,435.5923317,783.6018412,358.9688349,741.9586364,493.8928183,720.3041699,542.1989358,913.52864,500.5557311,896.8713581,513.8815566,751.9530056,650.4712682,788.5990258,563.8534023,775.2732002,835.3670974,748.6215492,722.0975804
labeled-data,863.5567943,313.9941737,801.9248513,412.272137,701.9811599,458.9125263,788.5990258,377.291845,758.6159183,510.5501002,721.9698981,575.5134997,946.8432038,512.2158284,915.1943682,515.5472848,760.2816465,647.1398118,825.2450459,630.4825299,783.6018412,845.3614665,778.6046566,722.0975804
