scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,800.9580253,270.6821018,870.9186093,428.9262799,805.9552099,455.5779309,596.0734579,295.6680247,572.7532632,457.2436591,654.3739446,453.9122027,792.6293844,520.5413304,656.0396728,522.2070586,686.0227802,758.7404616,799.2922971,737.0859951,674.3626828,985.2794955,800.9580253,950.2992035
labeled-data,809.2866663,280.6764709,865.9214247,432.2577363,805.9552099,442.2521054,607.7335552,279.0107428,579.416176,447.24929,654.3739446,450.5807464,795.9608408,512.2126894,666.0340419,512.2126894,686.0227802,757.0747334,804.2894817,737.0859951,679.3598674,981.9480391,805.9552099,948.6334753
labeled-data,805.9552099,277.3450146,865.9214247,423.9290953,797.6265689,452.2464746,612.7307398,272.34783,572.7532632,440.5863772,657.7054009,448.9150182,790.9636562,512.2126894,661.0368573,513.8784176,684.357052,758.7404616,804.2894817,737.0859951,674.3626828,985.2794955,800.9580253,950.2992035
labeled-data,804.2894817,277.3450146,865.9214247,435.5891927,799.2922971,443.9178336,604.4020988,285.6736555,566.0903505,445.5835618,646.0453036,450.5807464,792.6293844,513.8784176,661.0368573,510.5469612,682.6913238,753.743277,804.2894817,738.7517233,674.3626828,983.6137673,805.9552099,953.6306599
labeled-data,787.6321998,277.3450146,844.2669583,432.2577363,744.3232668,403.940357,599.4049143,259.0220045,502.7926792,407.2718134,607.7335552,408.9375416,782.6350152,517.209874,692.6856929,537.1986123,672.6969547,790.3892972,726.0002568,488.8924947,659.3711291,1003.602506,707.6772467,648.802401
labeled-data,790.9636562,277.3450146,844.2669583,430.5920081,734.3288977,402.2746288,606.067827,265.6849172,497.7954947,408.9375416,602.7363707,403.940357,799.2922971,525.5385149,689.3542366,542.1957968,672.6969547,785.3921126,724.3345286,438.920649,657.7054009,1001.936777,699.3486057,620.4850218
labeled-data,799.2922971,284.0079273,832.6068609,427.2605517,712.6744312,398.9431725,606.067827,267.3506454,499.4612228,402.2746288,616.0621962,410.6032698,789.297928,523.8727867,677.6941392,537.1986123,669.3654983,772.0662871,721.0030722,462.2408437,659.3711291,1000.271049,666.0340419,578.841817
labeled-data,805.9552099,284.0079273,845.9326865,418.9319107,712.6744312,410.6032698,621.0593808,284.0079273,507.7898638,412.268998,614.396468,417.2661826,807.6209381,545.5272532,706.0115185,550.5244378,667.6997701,777.0634717,742.6575387,453.9122027,647.7110318,998.605321,664.3683137,620.4850218
