scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,537.2312667,159.1846461,582.1698878,267.694975,532.847011,231.5248654,404.6075313,154.8003904,361.8610381,253.446144,428.7209378,249.0618882,531.7509471,309.3454043,473.6595588,322.4981715,479.1398785,501.1565919,589.8423353,298.384765,471.467431,645.8370305,601.8990385,426.6242447
labeled-data,541.6155224,154.8003904,598.6108467,262.2146554,538.3273306,224.9484818,408.991787,154.8003904,362.957102,243.5815686,456.122536,229.3327375,537.2312667,304.9611486,480.2359424,317.0178518,475.8516867,501.1565919,586.5541435,266.5989111,470.3713671,648.0291583,574.4974403,381.6856236
labeled-data,551.4800978,154.8003904,609.571486,251.2540161,545.9997781,219.4681622,418.8563624,160.28071,372.8216774,246.8697604,451.7382803,233.7169932,545.9997781,310.4414682,486.812326,330.170619,489.0044538,500.0605279,585.4580796,235.9091211,470.3713671,645.8370305,545.9997781,378.3974318
labeled-data,552.5761617,154.8003904,618.3399974,255.6382718,543.8076503,219.4681622,418.8563624,163.5689018,376.1098692,257.8303997,458.3146638,242.4855047,561.3446731,319.2099797,491.1965817,338.9391304,495.5808374,502.2526558,583.2659517,250.1579522,470.3713671,645.8370305,547.0958421,399.2226465
labeled-data,572.3053124,203.0272032,623.8203171,296.1926372,572.3053124,277.5595504,432.0091295,227.1406097,402.4154035,317.0178518,495.5808374,312.6335961,581.0738239,356.4761533,504.3493488,374.0131761,527.3666913,508.8290394,602.9951024,435.3927561,480.2359424,643.6449026,574.4974403,527.4621261
labeled-data,575.5935042,233.7169932,639.1652121,312.6335961,569.0171206,312.6335961,447.3540245,268.791039,432.0091295,364.1486008,512.0217963,386.0698793,589.8423353,389.3580711,513.1178603,395.9344547,535.0391388,509.9251033,635.8770203,447.4494593,487.9083899,642.5488387,628.2045728,576.7850029
labeled-data,602.9951024,246.8697604,677.5274496,321.4021075,670.951066,369.6289204,471.467431,288.5201897,449.5461524,393.7423268,475.8516867,470.4668018,607.3793581,411.2793497,537.2312667,417.8557333,553.6722256,518.6936147,697.2566003,514.309359,489.0044538,642.5488387,761.9243721,623.9157519
labeled-data,623.8203171,251.2540161,702.73692,308.2493404,767.4046917,334.5548747,491.1965817,281.9438061,433.1051935,360.860409,415.5681706,448.5455233,620.5321253,418.9517972,559.1525453,421.1439251,571.2092485,518.6936147,738.9070296,528.5581901,493.3887096,640.3567108,841.9370389,631.5881994
