scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,971.4440863,144.9495943,988.3370314,240.0835484,1031.013945,198.2957368,981.2242124,162.7316418,998.1171576,206.2976581,1017.67741,199.1848391,973.2222911,280.0931552,977.6678029,284.5386671,1000.784465,449.9117088,1086.138293,212.5213747,971.4440863,558.3821986,1055.908812,343.2194238
labeled-data,973.2222911,165.3989489,998.1171576,247.1963674,1028.346638,217.855989,982.1133148,178.7354845,997.2280552,233.8598317,1020.344717,264.9784149,951.8838341,303.209817,958.9966531,308.5444312,1014.121,456.1354254,1087.027395,292.5405885,970.5549839,560.1604033,1057.687017,421.4604328
labeled-data,975.8895982,181.4027916,1004.340874,262.3111077,1031.903048,244.5290602,974.1113934,205.4085558,976.7787006,276.5367457,1018.566512,294.3187932,941.2146056,320.1027621,950.9947317,324.548274,1018.566512,461.4700397,1076.358167,340.5521167,973.2222911,561.0495057,1063.021631,463.2482444
labeled-data,984.7806219,222.3015009,979.4460077,279.2040529,1015.899205,308.5444312,975.8895982,191.1829178,1002.562669,265.8675172,1038.126764,255.1982887,941.2146056,328.1046835,957.2184483,328.1046835,1023.012024,457.9136302,1072.801757,354.7777547,973.2222911,562.8277104,1059.465221,479.2520872
labeled-data,984.7806219,213.4104771,1014.121,272.0912339,1058.576119,300.5425099,970.5549839,263.2002101,975.0004958,327.2155811,1018.566512,374.338007,915.4306367,349.4431405,938.5472985,354.7777547,1017.67741,475.6956777,1053.241505,398.3437711,975.8895982,562.8277104,1053.241505,529.0418202
labeled-data,980.3351101,217.855989,1019.455615,269.4239267,1079.025474,312.1008407,966.1094721,256.9764935,976.7787006,341.4412191,1019.455615,410.7912043,909.2069201,359.2232666,931.4344795,363.6687785,1020.344717,468.5828587,1036.34856,423.2386376,974.1113934,561.9386081,1041.683174,554.8257891
labeled-data,974.1113934,228.5252175,1023.012024,262.3111077,1095.029316,309.4335336,951.8838341,288.0950766,966.1094721,357.4450618,994.5607481,430.3514566,900.3158963,369.8924951,932.3235818,377.0053141,1016.788307,468.5828587,996.3389528,454.3572207,973.2222911,565.4950176,1023.012024,596.6136007
labeled-data,969.6658816,225.8579104,1019.455615,264.9784149,1097.696624,298.7643051,948.3274246,286.3168719,969.6658816,351.2213452,980.3351101,427.6841495,889.6466678,378.7835188,923.4325581,380.5617236,1010.564591,473.9174729,972.3331887,466.8046539,968.7767792,561.9386081,1013.231898,603.7264197
