scorer,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey,Joey
bodyparts,right_shoulder,right_shoulder.1,right_elbow,right_elbow.1,right_wrist,right_wrist.1,left_shoulder,left_shoulder.1,left_elbow,left_elbow.1,left_wrist,left_wrist.1,right_hip,right_hip.1,left_hip,left_hip.1,left_knee,left_knee.1,right_knee,right_knee.1,left_ankle,left_ankle.1,right_ankle,right_ankle.1
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,1118.264575,211.9408863,1106.207872,336.8921742,1204.853626,295.2417449,1150.050429,227.2857814,1165.395324,314.9708957,1198.277242,301.8181285,1119.360639,378.5426035,1158.818941,392.7914346,1152.242557,591.1790057,1306.787571,359.9095167,1132.513406,732.5712525,1335.285233,535.2797453
labeled-data,1123.744895,209.7487585,1114.976383,329.2197267,1197.181178,277.7047221,1161.011068,231.6700371,1167.587452,316.0669596,1199.373306,287.5692974,1132.513406,358.8134528,1151.146493,356.6213249,1158.818941,585.6986861,1291.442676,287.5692974,1136.897662,732.5712525,1312.267891,466.2277178
labeled-data,1121.552767,204.2684388,1123.744895,318.2590874,1203.757562,260.1676992,1163.203196,240.4385485,1175.259899,314.9708957,1202.661498,284.2811056,1119.360639,367.5819642,1159.915004,370.870156,1163.203196,591.1790057,1276.097781,266.7440828,1136.897662,735.8594443,1272.809589,444.3064392
labeled-data,1122.648831,204.2684388,1123.744895,323.7394071,1202.661498,275.5125942,1162.107132,249.2070599,1159.915004,319.3551514,1198.277242,317.1630235,1093.055105,381.8307953,1136.897662,394.9835625,1179.644155,596.6593253,1285.962356,337.9882382,1137.993726,732.5712525,1248.696183,507.8781471
labeled-data,1123.744895,221.8054617,1122.648831,337.9882382,1202.661498,297.4338728,1156.626813,272.2244024,1154.434685,341.2764299,1201.565434,350.0449414,1075.518082,400.4638821,1128.129151,414.7127132,1185.124475,599.9475171,1268.425333,398.2717542,1140.185854,733.6673164,1254.176502,569.2577271
labeled-data,1117.168511,280.9929139,1135.801598,377.4465396,1218.006393,393.8874985,1151.146493,336.8921742,1165.395324,420.1930328,1198.277242,454.1710146,1043.732228,466.2277178,1076.614146,485.9568685,1197.181178,624.0609236,1211.430009,547.3364486,1142.377982,740.2437,1215.814265,710.6499739
labeled-data,1106.207872,309.490576,1127.033087,376.3504757,1237.735543,433.3458,1128.129151,358.8134528,1151.146493,459.6513343,1190.604795,541.8561289,999.8896709,491.4371882,1063.461379,496.9175078,1181.836283,621.8687957,1111.688192,604.3317728,1146.762237,740.2437,1128.129151,797.2390243
labeled-data,1091.959041,310.5866399,1128.129151,376.3504757,1235.543416,426.7694164,1123.744895,368.6780282,1152.242557,460.7473982,1182.932347,547.3364486,992.2172234,494.72538,1054.692867,499.1096357,1177.452027,628.4451793,1077.71021,621.8687957,1145.666173,743.5318918,1093.055105,814.7760472
